FUNDAÇÃO GENTÚLIO VARGAS|
LIVRARIA SARAIVA|
El Tranvia|
Lenharetto|
Angélica Grill|
Pão de Lo|
ABASE ALIANCA BRASILEIRA DE ASSISTENCIA SOCIAL E EDUCACIONAL.|
ACBZ IMPORTACAO E COMERCIO LTDA.|
EPHOXAL DO BRASIL INDUSTRIA E COMERCIO LTDA.|
EPSON DO BRASIL INDUSTRIA E COMERCIO LTDA.|
EQUANT BRASIL LTDA.|
EQUANT SERVICES BRASIL LTDA.|
FILIZOLA S/A. PESAGEM E AUTOMACAO.|
FILOAUTO INDUSTRIA E COMERCIO LTDA.|
FILTERTEK DO BRASIL INDUSTRIA E COMERCIO LTDA.|
G.P. GUARDA PATRIMONIAL DE SAO PAULO LTDA.|
G.R. DAUDT TRANSPORTES LTDA.|
HIPERTROCA DE OLEO JUNDIAI LTDA.|
ENTREGADORA TRANS-LEAL LTDA. - EPP.|
ETESSADAHNIAR INDUSTRIA E COMERCIO DE AUTO PECAS LTDA.|
ETIQUETAS COLANTIK INDUSTRIA E COMERCIO LTDA.|
PATRIOTAS PORTAS FORROS LTDA.|
FERTIFER AGRO-FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA.|
FINEPACK INDUSTRIA TECNICA DE EMBALAGENS LTDA.|
BAR E LANCHES CAMPANARIO LTDA ME|
FK EQUIPAMENTOS PARA ESCRITORIO LTDA.|
ESCRIBA COMERCIO DE MOVEIS LTDA.|
NOBILIS COMERC E DISTRIB LTDA.|
EVER GREEN INDUSTRIA E COMERCIO LTDA.|
EVER SYSTEM TECNOLOGIA EM SISTEMAS PREDIAIS LTDA.|
A.D. PORTAS AUTOM - COM E INST SISTELETRÔNICOS E ELEV LTDA.|
PÃO - Padaria Artesanal Orgânica|
Drogasil|
Droga Raia|
Casa de Carnes Natal|
Hospital Santa Catarina|
Hospital Alemão Oswaldo Cruz|
LS LOGISTICA E SERVICOS LTDA|
Clube Atlético São Paulo|
Anglo Vestibulares|
Gigi Lanchonete|
Policlínica Veterinária da Consolação|
Retrô Hair|
Cantina Montechiaro|
Inferno Club|
BENJAMIN ABRAHÃO - MUNDO DOS PÃES|
Jardim de Napoli|
Teatro Folha|
Breno Homara Imóveis|
Colégio Equipe|
Buffet França|
Così|
UNIFRET - TRANSPORTES INTERNACIONAIS LTDA|
Igrejinha Bar|
rama Comércio de Materiais para Construção|
Hospital Santa Isabel|
Biblioteca Monteiro Lobato|
Futurama Supermercados|
Bar Dona Onça|
Superintendência Regional do Trabalho e Emprego do Estado de São Paulo|
Major Quedinho|
Lavanderia Americana|
Extra Supermercado|
Teatro Renault|
Hospital Pérola Byington|
Ragazzo|
FMU|
Fiam-faam - Centro Universitário - Unifiam-faam|
Kalunga Papelaria e Informática|
Centro Social Hakka Brasil|
Orquídea Palace|
UTI DO BRASIL LTDA|
Supermercado Dia|
A & C ARTIGOS PROMOCIONAIS LTDA.|
A.D. PORTAS AUTOM - COM E INST SISTELETRÔNICOS E ELEV LTDA.|
FIDEC INDUSTRIA COMERCIO E SERVICOS LTDA.|
FIDENS ENGENHARIA S/A.|
ARCOS DOURADOS COMÉRCIO DE ALIMENTOS LTDA.|
GRUPO CARLOS LYRA|
ESPECIALMED ESPECIALIDADES MEDICAS COMERCIO E REPRESENTACOES LTDA. - EPP.|
TIBBITS ALIMENTOS LTDA.|
FERBASA - CIA DE FERRO LIGAS DA BAHIA|
ATMOSPHERA CONSULTORIA, REPRESENTAÇÃO E COMÉRCIO LTDA.|
RENNER SAYERLACK S/A.|
SECRETARIA DE ESPORTE, LAZER E JUVENTUDE.|
SEKISUI COMERCIO, IMPORTACAO E EXPORTACAO LTDA.|
BANCO VOTORANTIM S/A.|
EMCA - EMPRESA CARIOCA DE PRODUTOS QUIMICOS S.A|
CIBRAFÉRTIL CIA BRASILEIRA DE FERTILIZANTES|
UMUARAMA IMÓVEIS LTDA.|
CIRURGICA MAFRA LTDA.|
COIMBRA VIAGENS E TURISMO LTDA. - ME.|
DAYTEC LTDA.|
DENSO SISTEMAS TÉRMICOS DO BRASIL LTDA.|
FG CONSTRUCAO E TERRAPLENAGEM LTDA.|
FLETOR DO BRASIL LTDA. - EPP.|
CONSTRUTORA OASIS LTDA.|
Shopping Pátio Paulista|
Cel-Lep Paulista|
